,X,Y,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Zr,Nb,Mo,Ag,Sn,Sb,W,Pb
1,408391,9768300,0.698,0.354,0.241,2.447,88.197,0.889,0.845,2.826,0,0,0,1.295,0,0,0,0.661,0
2,408445,9768322,0.694,0.282,0.453,3.071,84.517,0.907,0.793,4.674,0,0,0,1.857,0,0,0,0.456,0
3,408486,9768324,0.554,0.323,0.291,3.225,86.295,0.811,0.736,3.502,0,0,0,1.419,0,0,0,0.681,0
4,408434,9768321,0.771,0.613,0.69,1.897,83.678,0.566,2.958,3.13,0,0,0,0.3,0,0,0,0.984,0
5,408583,9768317,0.679,0.685,0.603,2.285,83.841,0.697,2.901,2.952,0,0,0,0.271,0,0,0,0.995,0
6,408594,9768263,0.408,0.823,0.448,0.631,86.757,0.109,2.073,1.977,0,0,0,0.146,0,0,0,0.976,0
7,408538,9768262,0.996,0.71,0.539,0.849,83.562,0.306,2.737,2.964,0,0,0,0.165,0,0,0,0.888,0
8,408497,9768248,0.542,0.017,0.267,0.4,96.073,0,0.988,0.02,0,0,0,0.072,0,0,0,0.589,0
9,408447,9768232,0.101,0.26,1.103,3.354,79.641,0.928,4.278,5.524,0,0,0,0.346,0,0,0,0,0
10,408397,9768222,0.5,0.652,1.828,4.244,73.289,1.498,5.509,9.639,0,0,0,0.617,0,0,0,0,0
11,408422,9768174,0.82,0.972,1.323,3.175,78.045,1.095,5.291,7.358,0,0,0,0.423,0,0,0,0,0
12,408463,9768186,0.034,0.23,0,3.724,69.556,2.509,6.748,4.769,0,0,0.446,1.286,0,0,0,7.511,0
13,408509,9768197,0.656,0.754,2.114,3.478,73.213,1.216,5.772,9.973,0,0,0,0.595,0,0,0,0,0
14,408562,9768209,0.45,0.827,0,6.341,73.266,2.428,3.584,4.71,0,0,0.359,0.774,0,0,0,5.578,0
15,408611,9768209,0.666,0.03,1.172,5.069,77.66,1.393,4.358,6.369,0,0,0,0.246,0,0,0,0,0
16,408632,9768166,0.492,0.596,0.49,2.337,83.091,0.444,2.597,2.205,0,0,0,0.076,0,0,0,0.804,0
17,408577,9768161,0.111,0.602,0.549,2.503,80.228,0.681,2.878,2.856,0,0,0,0.116,0,0,0,0.843,0
18,408531,9768135,0.759,0.463,0.851,4.143,77.839,0.899,3.656,4.658,0,0,0,0.144,0,0,0,0.063,0
19,408482,9768119,0.757,0.011,0.962,3.201,82.818,0.349,2.727,3.041,0,0,0,0.013,0,0,0,0.733,0
20,408440,9768095,0.242,0.906,0,3.999,67.424,2.824,5.987,3.163,0,0,0.5,1.717,0,0,0,9.856,0
21,408454,9768050,0.866,0.19,0,3.622,67.428,3.328,4.481,2.627,0,0,0.466,2.146,0,0,0,9.358,0
22,408496,9768077,0.651,0.304,0,3.939,66.959,3.35,5.807,2.521,0,0,0.479,1.704,0,0,0,10.483,0
23,408449,9768091,0.001,0.791,0,3.915,60.789,3.563,5.847,3.556,0,0,0.535,1.957,0,0,0,9.19,0
24,408600,9768111,0.571,0.625,0,3.963,61.603,4.721,6.007,0.958,0,0,0.372,2.106,0,0,0,10.036,0
25,408640,9768129,1.295,0.372,0,3.711,61.461,2.911,0,2.596,0,0,0.487,1.932,0,0,0,10.474,0
26,408664,9768078,0.815,0.362,0,8.078,58.268,2.701,6.054,3.845,0,0,0.46,1.236,0,0,0,7.717,0
27,408684,9768028,0.111,0.007,1.273,2.831,69.636,0.973,4.376,7.771,0,0,0,0.363,0,0,0,0,0
28,408664,9768084,0.228,0.114,0,3.491,60.274,2.495,5.894,3.563,0,0,0.476,1.737,0,0,0,9.057,0
29,408630,9768047,0.624,0.784,0,4.264,63.55,3.617,6.185,0,0,0,0.297,2.326,0,0,0,12.902,0
30,408593,9768019,0.331,0.307,0.965,3.384,75.922,0.985,4.022,5.762,0,0,0,0.248,0,0,0,0,0
31,408545,9767992,1.8,0.178,1.13,3.938,74.915,0.976,3.69,5.606,0,0,0,0.274,0,0,0,0,0
32,408501,9767970,1.956,0.95,2.158,4.109,61.222,1.793,4.829,13.694,0,0,0,0.692,0,0,0,0,0
33,408536,9767934,0.215,0.024,0,3.364,64.688,2.927,5.712,4.644,0,0,0.559,1.51,0,0,0,8.228,0
34,408584,9767951,0.062,0.756,0.745,2.566,76.532,0.774,2.962,3.708,0,0,0,0.178,0,0,0,0.648,0
35,408628,9767967,0.093,0.33,2.627,4.952,62.908,2.076,4.694,12.222,0,0,0,0.975,0,0,0,0,0
36,408668,9767993,0.181,0.673,1.612,4.778,71.149,1.545,7.202,7.752,0,0,0,0.564,0,0,0,0,0
37,408709,9768025,0.579,0.32,0,4.926,65.37,3.755,5.215,3.49,0,0,0.536,1.968,0,0,0,9.549,0
38,408727,9767978,0.414,0.937,0,2.828,70.317,2.102,4.828,3.919,0,0,0.594,1.476,0,0,0,8.875,0
39,408685,9767952,0.773,0.135,0,4.742,64.773,3.369,6.133,3.175,0,0,0.499,1.705,0,0,0,9.682,0
40,408645,9767927,0.916,0.113,0,5.01,63.672,4.434,5.919,0.742,0,0,0.471,2.338,0,0,0,11.825,0
